temperature_K,log10_T,q_env,A1,A2,A3,A1_minus_photosphere,A2_minus_photosphere,A3_minus_photosphere,phi1_rad,phi2_rad,phi3_rad,delta_phi1_rad,delta_phi2_rad,delta_phi3_rad,A1_photosphere,A2_photosphere,A3_photosphere,phi1_photosphere_rad,phi2_photosphere_rad,phi3_photosphere_rad
43410.5723302,4.63759551167,0.999984245888,0.568793543298,0.291854885693,0.124605730566,0.492753633172,0.220638753182,0.0719835596855,1.58070635225,1.78451049795,1.95796330811,0.257506636319,-0.300572483645,6.13116376388,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
44798.1665848,4.65126024037,0.999982535573,0.589225374107,0.289351633022,0.115981563474,0.513185463981,0.218135500511,0.063359392594,1.61136757884,1.8057758069,1.98860666627,0.288167862905,-0.279307174699,6.16180712203,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
46251.5240576,4.66512604797,0.99998062603,0.608564948517,0.282634162774,0.104928456696,0.532525038391,0.211418030264,0.0523062858154,1.64083478216,1.82867060143,2.02374932742,0.317635066233,-0.256412380167,6.19694978318,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
47780.7950214,4.67925337167,0.999978494051,0.625944900607,0.27166923244,0.091832494354,0.549904990482,0.200453099929,0.0392103234737,1.66663903973,1.85046286308,2.05816418202,0.343439323803,-0.234620118515,6.23136463779,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
49361.5384817,4.69338868716,0.999976113726,0.640561524405,0.257063443081,0.0776832562771,0.564521614279,0.18584731057,0.0250610853968,1.6862734324,1.86722025932,2.0850077696,0.363073716467,-0.217862722278,6.25820822537,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
50908.6620571,4.70679168339,0.999973456125,0.652008769854,0.240488455884,0.0641825511249,0.575968859728,0.169272323374,0.0115603802446,1.69657046648,1.87527572198,2.09582396517,0.373370750548,-0.20980725962,6.26902442094,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
52411.0046335,4.7194224845,0.99997048895,0.656309816662,0.224939902288,0.0538377806601,0.580269906536,0.153723769777,0.00121560977985,1.6960989757,1.87945005047,2.10373355843,0.372899259768,-0.205632931128,6.27693401419,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
53911.2221065,4.73167917691,0.999967176138,0.650883121831,0.208533609283,0.0451224844498,0.574843211705,0.137317476772,-0.00749968643038,1.68792780298,1.87388294744,2.10073433964,0.364728087051,-0.211200034155,6.27393479541,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
55429.8703102,4.74374386247,0.999963477429,0.637580513209,0.191468306817,0.037428447793,0.561540603083,0.120252174306,-0.0151937230873,1.67483753908,1.86088914493,2.08165097516,0.351637823145,-0.224193836664,6.25485143092,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
56983.2066522,4.75574688492,0.999959347871,0.61799352084,0.173861549416,0.0304939814655,0.541953610715,0.102645416905,-0.0221281894147,1.65896892921,1.8421412394,2.04491253029,0.335769213279,-0.242941742201,6.21811298605,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
58583.3051503,4.76777387004,0.999954737275,0.593535909668,0.155907517118,0.0243454692162,0.517495999543,0.0846913846069,-0.028276701664,1.64188518315,1.81903741447,1.99253857697,0.318685467214,-0.266045567126,6.16573903273,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
60236.9523811,4.77986299112,0.999949589607,0.565478881731,0.137949690289,0.0190505001379,0.489438971605,0.066733557778,-0.0335716707423,1.62470466682,1.79346561981,1.92938372746,0.301504950889,-0.291617361783,6.10258418322,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
61948.2901149,4.79202932356,0.999943842306,0.534985452578,0.120447004596,0.0144902995989,0.458945542452,0.0492308720854,-0.0381318712814,1.60826783519,1.76821893849,1.85332772483,0.285068119254,-0.316864043109,6.02652818059,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
63722.9038323,4.80429555824,0.999937425522,0.503134347335,0.103791105321,0.0104997331676,0.42709443721,0.0325749728101,-0.0421224377127,1.59339441083,1.74561106555,1.74896519448,0.270194694894,-0.339471916046,5.92216565025,0.0760399101257,0.0712161325108,0.0526221708802,1.32319971593,2.0850829816,8.3931701586
